Sr. No.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Website,Product Image Link
0,Tata 1mg Salmon Omega 3 Fish Oil Capsule,417.9,58% off,995,1578 ratings,4.4,https://www.1mg.com/otc/tata-1mg-salmon-omega-3-fish-oil-capsule-otc503411,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/0fa72f2c-072d-4c6a-bc52-446edab403a4/tata-1mg-salmon-omega-3-fish-oil-capsule.jpeg"
1,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",432.82,56% off,995,1305 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc555721,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/qh1au45w8u7cfvf3lg3i/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
2,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablet, Joint Support, Bones Health, Immunity & Energy Support",276.68,53% off,595,2528 ratings,4.3,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support-otc536094,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/gc3u9gfc331wtsipnljl/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support.jpg"
3,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Capsule for Immunity, Energy, Overall Health",422.88,57% off,995,1282 ratings,4.2,https://www.1mg.com/otc/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health-otc503409,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/gmkrpf1imjj9djwvq4gq/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health.jpg"
4,"1mg Sports Multivitamin Energy & Immunity Booster Zinc, Vitamin C, Vitamin D, Calcium and Iron Tablet",585.55,51% off,1195,118 ratings,4,https://www.1mg.com/otc/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet-otc555751,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/vjqcbttlwfq8np41ag3c/1mg-sports-multivitamin-energy-immunity-booster-zinc-vitamin-c-vitamin-d-calcium-and-iron-tablet.png"
5,"Tata 1mg Hair, Skin & Nails Supreme Biotin Capsule with Collagen, Zinc, Iron and Vitamin B",361.4,48% off,695,607 ratings,4,https://www.1mg.com/otc/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b-otc503408,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/73c2b656962348769f7f93a72090dcaa/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b.jpg"
6,"Tata 1mg Senior 50+ Multivitamin & Multimineral Veg Tablet with Zinc, Vitamin C, Calcium and Vitamin D, Supports Immunity, Strength & Overall Health",389.32,56% off,895,785 ratings,4.4,https://www.1mg.com/otc/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health-otc555713,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/klpj2khvaphkvpqmchui/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health.jpg"
7,"Tata 1mg Milk Thistle Veg Capsule for Liver Detox, 70% Silymarin with Dandelion & Ginger, Supports Liver Detox & Prevents Fatty Liver",414.05,51% off,845,411 ratings,4.3,https://www.1mg.com/otc/tata-1mg-milk-thistle-veg-capsule-for-liver-detox-70-silymarin-with-dandelion-ginger-supports-liver-detox-prevents-fatty-liver-otc547345,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/2b1dea512d474ab48100f1969cb9f6e8/tata-1mg-milk-thistle-veg-capsule-for-liver-detox-70-silymarin-with-dandelion-ginger-supports-liver-detox-prevents-fatty-liver.jpg"
8,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablet, Joint Support, Bones Health, Immunity & Energy Support",160.88,50% off,325,2528 ratings,4.3,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support-otc623696,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ya4kfie8ddiryoh4soff/tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablet-joint-support-bones-health-immunity-energy-support.jpg"
9,"Tata 1mg Glucosamine HCL 1500 mg Tablet for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, Supports in Building Cartilage, Relieves Pain & Inflammation in Joints",457.7,54% off,995,558 ratings,4.2,https://www.1mg.com/otc/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints-otc535187,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/c2da7f19ab63463c8d3a99dd29365795/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints.jpg"
10,"Tata 1mg Women's Multivitamin Veg Tablet with Zinc, Vitamin C, Calcium, Vitamin D and Iron, Support Immunity, Bones & Overall Health",237.15,53% off,510,1305 ratings,4.3,https://www.1mg.com/otc/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health-otc695704,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/jv4fjubstbcvlqyimatv/tata-1mg-women-s-multivitamin-veg-tablet-with-zinc-vitamin-c-calcium-vitamin-d-and-iron-support-immunity-bones-overall-health.jpg"
11,Tata 1mg Salmon Omega 3 Fish Oil Capsule,259.88,50% off,525,366 ratings,4.3,https://www.1mg.com/otc/tata-1mg-salmon-omega-3-fish-oil-capsule-otc607232,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/l9s8qarhozwnkx6hg39h/tata-1mg-salmon-omega-3-fish-oil-capsule.jpg"
12,Tata 1mg Melatonin 10mg Vegetarian Capsule for Calm & Restful Sleep,239.7,53% off,510,241 ratings,4,https://www.1mg.com/otc/tata-1mg-melatonin-10mg-vegetarian-capsule-for-calm-restful-sleep-otc710972,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/seug8lsqoerrf3hv4pmh/tata-1mg-melatonin-10mg-vegetarian-capsule-for-calm-restful-sleep.jpg"
13,"Tata 1mg Brain Formula with Vitamin B Complex, L-Tyrosine, L-Theanine, Brahmi, Ginkgo and Pine Bark Extract Capsule",363.18,63% off,995,129 ratings,4.2,https://www.1mg.com/otc/tata-1mg-brain-formula-with-vitamin-b-complex-l-tyrosine-l-theanine-brahmi-ginkgo-and-pine-bark-extract-capsule-otc648242,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ojksplnabfyahrm6p0kb/tata-1mg-brain-formula-with-vitamin-b-complex-l-tyrosine-l-theanine-brahmi-ginkgo-and-pine-bark-extract-capsule.jpg"
14,"Tata 1mg Glucosamine HCL 1500 mg Tablet for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, Supports in Building Cartilage, Relieves Pain & Inflammation in Joints",230.05,57% off,535,558 ratings,4.2,https://www.1mg.com/otc/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints-otc623697,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/mkiyuzyov7kliuvl28sr/tata-1mg-glucosamine-hcl-1500-mg-tablet-for-joint-health-with-boswellia-serrata-collagen-peptide-l-arginine-supports-in-building-cartilage-relieves-pain-inflammation-in-joints.jpg"
15,1mg Turmeric Curcumin 95% with Piperine Capsule,263.25,61% off,675,177 ratings,4.4,https://www.1mg.com/otc/1mg-turmeric-curcumin-95-with-piperine-capsule-otc603942,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/iyfn5hupleaimrrggwla/1mg-turmeric-curcumin-95-with-piperine-capsule.jpg"
16,1mg Super Antioxidant Multiminerals with Betacarotene Capsule,173.25,65% off,495,128 ratings,4.1,https://www.1mg.com/otc/1mg-super-antioxidant-multiminerals-with-betacarotene-capsule-otc628380,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/c5ae6c9d8a6d44fa829eb1edebf193b2/1mg-super-antioxidant-multiminerals-with-betacarotene-capsule.jpg"
17,"Tata 1mg Hair, Skin & Nails Supreme Biotin Capsule with Collagen, Zinc, Iron and Vitamin B",225.5,40% off,375,607 ratings,4,https://www.1mg.com/otc/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b-otc640158,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/a3e2a6559715472abd885f338d9acd8b/tata-1mg-hair-skin-nails-supreme-biotin-capsule-with-collagen-zinc-iron-and-vitamin-b.jpg"
18,Tata 1mg Panch Tulsi Drops for Respiratory Relief and Healthy Immunity,138.65,41% off,235,471 ratings,4.4,https://www.1mg.com/otc/tata-1mg-panch-tulsi-drops-for-respiratory-relief-and-healthy-immunity-otc614268,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/f1tul7siyasboatzn9pz/tata-1mg-panch-tulsi-drops-for-respiratory-relief-and-healthy-immunity.jpg"
19,Tata 1mg Calcium & Vitamin D Supplement Tablet,79.02,20% off,99,237 ratings,4.4,https://www.1mg.com/otc/tata-1mg-calcium-vitamin-d-supplement-tablet-otc702913,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/d71824667b96449b91be8b6a597cc2df/tata-1mg-calcium-vitamin-d-supplement-tablet.jpg"
20,"Tata 1mg Chelated Magnesium Plus Tablet with Zinc, Lysine Hydrochloride & Vitamin B6, Supports Heart Health & Neuromuscular System",291.55,51% off,595,43 ratings,4.5,https://www.1mg.com/otc/tata-1mg-chelated-magnesium-plus-tablet-with-zinc-lysine-hydrochloride-vitamin-b6-supports-heart-health-neuromuscular-system-otc648241,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/hkgi3udopeouhogoaq6t/tata-1mg-chelated-magnesium-plus-tablet-with-zinc-lysine-hydrochloride-vitamin-b6-supports-heart-health-neuromuscular-system.jpg"
21,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Capsule for Immunity, Energy, Overall Health",312.38,40% off,525,102 ratings,4,https://www.1mg.com/otc/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health-otc614280,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/f5quultogobvb7qu1cyp/tata-1mg-multivitamin-supreme-zinc-calcium-and-vitamin-d-capsule-for-immunity-energy-overall-health.jpg"
22,Tata 1mg Multivitamin & Multimineral Supplement Tablet,85.14,14% off,99,312 ratings,4.3,https://www.1mg.com/otc/tata-1mg-multivitamin-multimineral-supplement-tablet-otc702912,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/874c24e9de5d483fbaec1848ed294d5d/tata-1mg-multivitamin-multimineral-supplement-tablet.jpg"
23,Tata 1mg Ceylon Cinnamon 10:1 Ratio Extract for Blood Sugar Management 200mg Capsule,94.05,81% off,495,165 ratings,4.3,https://www.1mg.com/otc/tata-1mg-ceylon-cinnamon-10-1-ratio-extract-for-blood-sugar-management-200mg-capsule-otc640362,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/eds6ghegqiwdxfbzgeeq/tata-1mg-ceylon-cinnamon-10-1-ratio-extract-for-blood-sugar-management-200mg-capsule.jpg"
24,"Tata 1mg Senior 50+ Multivitamin & Multimineral Veg Tablet with Zinc, Vitamin C, Calcium and Vitamin D, Supports Immunity, Strength & Overall Health",237.15,53% off,510,785 ratings,4.4,https://www.1mg.com/otc/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health-otc695684,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/fvj4yg4go9xjxlb0jfrv/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health.jpg"
25,Tata 1mg Salmon Omega 3 Fish Oil Capsule,95.38,45% off,175,149 ratings,4.1,https://www.1mg.com/otc/tata-1mg-salmon-omega-3-fish-oil-capsule-otc607229,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/oh27qanoszkuakdrpl35/tata-1mg-salmon-omega-3-fish-oil-capsule.jpg"
26,"1mg Immune Support Herbal Formulation with Giloy, Tulsi, and Turmeric Capsule",157.5,58% off,375,129 ratings,4.3,https://www.1mg.com/otc/1mg-immune-support-herbal-formulation-with-giloy-tulsi-and-turmeric-capsule-otc603940,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/swnpqyvwbs5izrgzqfpg/1mg-immune-support-herbal-formulation-with-giloy-tulsi-and-turmeric-capsule.png"
27,1mg Giloy 500mg Capsule,102.38,68% off,325,113 ratings,4.1,https://www.1mg.com/otc/1mg-giloy-500mg-capsule-otc605260,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/cropped/o7mnm6jsfwkimiqwnxjp/1mg-giloy-500mg-capsule.png"
28,"1mg Turmeric Drops with Piperine, Haldi Drops, Supports Immune System & Reduces Joint Pain",170.78,50% off,345,116 ratings,4.1,https://www.1mg.com/otc/1mg-turmeric-drops-with-piperine-haldi-drops-supports-immune-system-reduces-joint-pain-otc614274,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/qynblyiamauuzxoexzud/1mg-turmeric-drops-with-piperine-haldi-drops-supports-immune-system-reduces-joint-pain.jpg"
29,1mg Garlic Oil Maxium Strength for Heart Health Capsule,309,48% off,595,39 ratings,4.5,https://www.1mg.com/otc/1mg-garlic-oil-maxium-strength-for-heart-health-capsule-otc648245,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/p37191zlnkjkpm2rscid/1mg-garlic-oil-maxium-strength-for-heart-health-capsule.jpg"
30,Tata 1mg Immunity & Wellness Supplement Tablet,79.02,20% off,99,156 ratings,4.2,https://www.1mg.com/otc/tata-1mg-immunity-wellness-supplement-tablet-otc702915,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/587215a21e4343e8b54a07bf1d1244a8/tata-1mg-immunity-wellness-supplement-tablet.jpg"
31,"Tata 1mg Women Care Combo Pack for Daily Wellness, Hormonal balance, Healthy Hair & Skin",884.35,48% off,1695,2290 ratings,4.4,https://www.1mg.com/otc/tata-1mg-women-care-combo-pack-for-daily-wellness-hormonal-balance-healthy-hair-skin-otc787651,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/tamf9xnrq7ncapgc04t6/tata-1mg-women-care-combo-pack-for-daily-wellness-hormonal-balance-healthy-hair-skin.jpg"
32,"Tata 1mg Winter Ready Combo Pack for Cough, Cold & Congestion",932.99,47% off,1780,7774 ratings,4.1,https://www.1mg.com/otc/tata-1mg-winter-ready-combo-pack-for-cough-cold-congestion-otc793346,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/f6f082fbf0a64a328cb0da72a11217fe/tata-1mg-winter-ready-combo-pack-for-cough-cold-congestion.jpg"
33,"Tata 1mg Elderly Care Combo for Eye & Heart Health, Memory Support, Immunity Wellness, Cholestrol & Blood Pressure Management",987.86,50% off,1975,2161 ratings,4.3,https://www.1mg.com/otc/tata-1mg-elderly-care-combo-for-eye-heart-health-memory-support-immunity-wellness-cholestrol-blood-pressure-management-otc787659,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/qutzgli859zoj0lfcoix/tata-1mg-elderly-care-combo-for-eye-heart-health-memory-support-immunity-wellness-cholestrol-blood-pressure-management.jpg"
34,"Combo Pack of Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity & Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron Immunity Booster Tablet (60 Each)",709.5,55% off,1590,3833 ratings,4.3,https://www.1mg.com/otc/combo-pack-of-tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablets-for-joint-health-immunity-tata-1mg-women-s-multivitamin-zinc-vitamin-c-calcium-vitamin-d-and-iron-immunity-booster-tablet-60-each-otc783440,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/l8ilxa3tkouodi1nfr0a/combo-pack-of-tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablets-for-joint-health-immunity-tata-1mg-women-s-multivitamin-zinc-vitamin-c-calcium-vitamin-d-and-iron-immunity-booster-tablet-60-each.jpg"
35,Tata 1mg Diabetes Care Combo Pack for Blood Sugar & Cholestrol Management,641.97,59% off,1580,1518 ratings,4.4,https://www.1mg.com/otc/tata-1mg-diabetes-care-combo-pack-for-blood-sugar-cholestrol-management-otc787635,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/uca5jm0uqfqpjoyydzh0/tata-1mg-diabetes-care-combo-pack-for-blood-sugar-cholestrol-management.jpg"
36,"Combo Pack of Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity (60) & Limcee Chewable Tablet Orange (15)",298.68,52% off,620.53,13681 ratings,4.5,https://www.1mg.com/otc/combo-pack-of-tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablets-for-joint-health-immunity-60-limcee-chewable-tablet-orange-15-otc783458,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/fh0riu27sg4n6lxrncpo/combo-pack-of-tata-1mg-calcium-vitamin-d3-zinc-magnesium-and-alfalfa-tablets-for-joint-health-immunity-60-limcee-chewable-tablet-orange-15.jpg"
37,"Combo Pack of Tata 1mg Immunity & Wellness Supplement Tablet,Calcium & Vitamin D Supplement Tablet & Multivitamin & Multimineral Supplement Tablet (15 Each)",243.18,18% off,297,705 ratings,4.3,https://www.1mg.com/otc/combo-pack-of-tata-1mg-immunity-wellness-supplement-tablet-calcium-vitamin-d-supplement-tablet-multivitamin-multimineral-supplement-tablet-15-each-otc792720,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/e2bd26da-4bee-46d2-a19d-00dd231f8d78/combo-pack-of-tata-1mg-immunity-wellness-supplement-tablet-calcium-vitamin-d-supplement-tablet-multivitamin-multimineral-supplement-tablet-15-each.jpeg"
38,"Tata 1mg Vitamin & Minerals Combo Pack for Energy, Strength & Stamina",1104.74,51% off,2284,4279 ratings,4.3,https://www.1mg.com/otc/tata-1mg-vitamin-minerals-combo-pack-for-energy-strength-stamina-otc793351,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/15aa01c8176f42868ff6045f053c0e1a/tata-1mg-vitamin-minerals-combo-pack-for-energy-strength-stamina.jpg"
39,"Tata 1mg Liver Care Combo Pack for Healthy Liver, Metabolism & Appetite",950.98,46% off,1765,941 ratings,4.4,https://www.1mg.com/otc/tata-1mg-liver-care-combo-pack-for-healthy-liver-metabolism-appetite-otc793349,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/66745f0f9348427fb3b1505f341079d5/tata-1mg-liver-care-combo-pack-for-healthy-liver-metabolism-appetite.jpg"
